"","t","month","fighter","interest","region","country.etc","pop","lat","long","capital"
"214",43,2007-07-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"215",43,2007-07-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"216",44,2007-08-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"217",44,2007-08-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"218",44,2007-08-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"219",44,2007-08-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"220",44,2007-08-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"221",45,2007-09-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"222",45,2007-09-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"223",45,2007-09-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"224",45,2007-09-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"225",45,2007-09-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"226",46,2007-10-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"227",46,2007-10-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"228",46,2007-10-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"229",46,2007-10-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"230",46,2007-10-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"231",47,2007-11-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"232",47,2007-11-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"233",47,2007-11-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"234",47,2007-11-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"235",47,2007-11-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"236",48,2007-12-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"237",48,2007-12-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"238",48,2007-12-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"239",48,2007-12-01,"floyd",8,"Grand Rapids","USA",193006,42.96,-85.66,0
"240",48,2007-12-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"241",49,2008-01-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"242",49,2008-01-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"243",49,2008-01-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"244",49,2008-01-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"245",49,2008-01-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"246",50,2008-02-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"247",50,2008-02-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"248",50,2008-02-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"249",50,2008-02-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"250",50,2008-02-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"251",51,2008-03-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"252",51,2008-03-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"253",51,2008-03-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"254",51,2008-03-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"255",51,2008-03-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"256",52,2008-04-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"257",52,2008-04-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"258",52,2008-04-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"259",52,2008-04-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"260",52,2008-04-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"261",53,2008-05-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"262",53,2008-05-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"263",53,2008-05-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"264",53,2008-05-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"265",53,2008-05-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"266",54,2008-06-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"267",54,2008-06-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"268",54,2008-06-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"269",54,2008-06-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"270",54,2008-06-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"271",55,2008-07-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"272",55,2008-07-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"273",55,2008-07-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"274",55,2008-07-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"275",55,2008-07-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"276",56,2008-08-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"277",56,2008-08-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"278",56,2008-08-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"279",56,2008-08-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"280",56,2008-08-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"281",57,2008-09-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"282",57,2008-09-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"283",57,2008-09-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"284",57,2008-09-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"285",57,2008-09-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"286",58,2008-10-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"287",58,2008-10-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"288",58,2008-10-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"289",58,2008-10-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"290",58,2008-10-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"291",59,2008-11-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"292",59,2008-11-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"293",59,2008-11-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"294",59,2008-11-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"295",59,2008-11-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"296",60,2008-12-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"297",60,2008-12-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"298",60,2008-12-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"299",60,2008-12-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"300",60,2008-12-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"301",61,2009-01-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"302",61,2009-01-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"303",61,2009-01-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"304",61,2009-01-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"305",61,2009-01-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"306",62,2009-02-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"307",62,2009-02-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"308",62,2009-02-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"309",62,2009-02-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"310",62,2009-02-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"311",63,2009-03-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"312",63,2009-03-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"313",63,2009-03-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"314",63,2009-03-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"315",63,2009-03-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"316",64,2009-04-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"317",64,2009-04-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"318",64,2009-04-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"319",64,2009-04-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"320",64,2009-04-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"321",65,2009-05-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"322",65,2009-05-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"323",65,2009-05-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
